match_id,round,bracket,team1,team2,winner,loser,final_score,total_rounds
1,1,WB,Vitality,Taco,Taco,Vitality,9-13,22
2,1,WB,Falcons,Faze,Falcons,Faze,13-11,24
3,1,WB,Legacy,Greek,Greek,Legacy,12-13,25
4,1,WB,MOUZ,Aurora,Aurora,MOUZ,5-13,18
5,1,WB,Hrútar,Jolasveinarnir,Jolasveinarnir,Hrútar,9-13,22
6,1,WB,Lego Fans,Le France,Le France,Lego Fans,2-13,15
7,1,WB,Spirit,FURIA,Spirit,FURIA,13-7,20
8,1,WB,Liquid,G2,Liquid,G2,13-10,23
9,2,WB,Taco,Falcons,Falcons,Taco,8-13,21
10,2,WB,Greek,Aurora,Aurora,Greek,9-13,22
11,2,WB,Jolasveinarnir,Le France,Le France,Jolasveinarnir,9-13,22
12,2,WB,Spirit,Liquid,Liquid,Spirit,11-13,24
13,1,LB,Vitality,Faze,Vitality,Faze,13-7,20
14,1,LB,Legacy,MOUZ,Legacy,MOUZ,13-10,23
15,1,LB,Hrútar,Lego Fans,Lego Fans,Hrútar,10-13,23
16,1,LB,FURIA,G2,G2,FURIA,12-13,25
17,3,WB,Falcons,Aurora,Falcons,Aurora,13-10,23
18,3,WB,Le France,Liquid,Le France,Liquid,13-11,24
19,4,WB,Falcons,Le France,Le France,Falcons,12-13,25
